SCED Time  Stamp,Repeated Hour  Flag,SUM  BASE POINT NON-WGR,SUM  HASL NON-WGR,SUM  LASL NON-WGR,SUM  BASE POINT WGR,SUM  HASL  WGR,SUM  LASL WGR,SUM  BASE POINT REMAINING RESOURCES,SUM  HASL REMAINING RESOURCES,SUM  LASL REMAINING RESOURCES,SUM  GEN  TELEM  MW
04/15/2025 15:45:11,N,9553.41327285,10766.32055544,90.10001,5637.06068721,5856.87485805,58.46999607,.5207258,609.51510763,0,15055.79488
04/15/2025 16:00:15,N,9578.64419984,10754.66434669,108.30000923,5713.09660929,5952.11322993,58.46999607,.02392976,552.11060094,0,15241.55083
04/15/2025 16:15:11,N,9618.11351775,10794.03432988,143.79561852,5439.17181224,5972.30943307,59.56999609,60.54512965,551.37389516,0,15314.03803
04/15/2025 16:30:13,N,9555.05080413,10730.96689367,161.83379601,5432.38178057,6059.91717863,59.24384923,243.12629464,552.45890283,0,15161.14773
04/15/2025 16:45:10,N,9636.86092662,10932.34917497,257.92240379,5365.5980683,5997.31863448,58.46999607,.02792208,549.82500219,0,14759.9757
04/15/2025 17:00:13,N,9705.41556071,10916.51555776,332.83324669,5531.35762266,6217.23846429,58.46999607,.02441152,634.21920728,0,15366.71052
04/15/2025 17:15:11,N,9704.59477519,10911.32190846,307.24225853,5639.86807394,6258.12847295,58.45999607,.02790587,637.0679059,0,15611.84663
04/15/2025 17:30:09,N,9503.4627583,10762.55764364,307.15952538,5905.99409785,6570.03077119,58.38599607,257.21327452,637.21290445,0,15414.00901
04/15/2025 17:45:11,N,9363.3667662,10726.71099543,388.35569237,6024.8081642,6745.22122249,58.36999607,2.85729576,632.26054525,0,15384.96696
04/15/2025 18:00:14,N,9201.84477519,10281.1927719,387.65807579,6253.91330903,6917.38593858,58.36999607,27.32855526,1220.73243272,0,15457.96232
04/15/2025 18:15:11,N,8882.39959024,9838.73675322,386.63724754,6292.43820863,6907.31745058,58.36999607,.04811337,1233.78837203,0,15103.25058
04/15/2025 18:30:10,N,8213.01495718,9141.30295634,387.33880089,6528.88235962,7166.35758697,58.36999607,17.3477072,1247.05137729,0,14703.3646
04/15/2025 18:45:10,N,7207.46840655,8103.95541083,387.00849388,6856.51814639,7424.06003558,58.36999607,159.83581582,1290.73375892,0,14118.31714
04/15/2025 19:00:11,N,6102.73841377,6668.50389527,387.11570213,7057.60505294,7508.88854026,58.46999607,319.86634862,1433.74389457,0,13262.5131
04/15/2025 19:15:10,N,4946.00656282,5393.66955673,547.15415428,7201.35682317,7507.21694204,58.46999607,451.92777171,1448.1339159,0,12308.1479
04/15/2025 19:30:11,N,3576.23504948,3913.0870025,547.34073875,7317.63838255,7411.112208,58.46999607,835.74744743,1448.19391345,0,11523.26777
04/15/2025 19:45:10,N,2720.43356522,2733.25082334,547.1363015,7253.03098446,7253.03098446,50.89999923,1114.63028556,1448.0439186,0,11040.27922
04/15/2025 20:00:15,N,2176.62840078,2305.98966572,546.64936302,7117.85804569,7117.85804569,.1,1088.20524358,1495.30591011,0,10298.66891
04/15/2025 20:15:10,N,1964.89778923,2086.49335407,583.54279901,7091.20221334,7091.20221334,.1,956.87095737,1525.25791358,0,10129.61876
04/15/2025 20:30:11,N,1846.33742038,1994.77722946,581.88143395,7418.72861513,7418.72861513,.1,846.53015112,1521.39591121,0,10088.05229
04/15/2025 20:45:10,N,1686.08560287,1922.24407198,582.13888023,7908.97865682,7908.97865682,.1,593.7638837,1519.87691593,0,10359.33514
04/15/2025 21:00:11,N,1096.2800494,1363.18096687,582.58811424,8525.01815652,8525.01815652,.1,709.93030522,1938.51156964,0,10408.80201
04/15/2025 21:15:12,N,1057.79349082,1261.09869857,541.37392662,9217.88554883,9250.19931912,.1,558.8292976,1422.45023703,0,10993.51564
04/15/2025 21:30:10,N,1071.81212961,1259.64914198,542.30498741,9938.0187636,10099.44848543,.1,373.53308906,1499.06928336,0,11240.5114
04/15/2025 21:45:10,N,1068.90428543,1260.83635135,542.580317,10560.69308155,10684.96415776,.1,65.31399851,1703.47912466,0,11704.66874
04/15/2025 22:00:15,N,920.95446014,1962.96803446,543.01694725,11153.68162357,11292.25623142,.1,36.30846938,1130.63751471,0,12110.90736
04/15/2025 22:15:10,N,892.50710296,1801.59380062,461.8729348,11501.04041528,11680.9451127,11.29999981,8.62247741,1152.06851017,0,12477.7753
04/15/2025 22:30:11,N,923.81939697,1909.71876497,462.37673424,12143.17219662,12396.47987103,.1,.46883087,1151.19850957,0,13033.03779
04/15/2025 22:45:09,N,894.25141906,1929.78912379,462.21731041,12621.7941786,12922.37188255,.1,.1240803,1151.18850934,0,13505.12404
04/15/2025 23:00:12,N,896.66443634,1999.15646405,463.08306358,13159.62376987,13569.12752354,.1,20.79220583,1120.99351751,0,14018.81232
04/15/2025 23:15:09,N,904.33696746,2009.52999444,464.73539208,13429.23355358,13927.65221279,.1,.38654343,990.49320077,0,14370.54325
04/15/2025 23:30:11,N,900.88282775,2014.72185655,465.10354088,13684.48622445,14232.72590035,.1,.3131047,1118.64684963,0,14554.65597
04/15/2025 23:45:10,N,906.41162109,2034.07064958,466.40058373,13851.53600285,14602.40145981,.1,78.5767939,1093.44150829,0,14971.54155
