DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
04/15/2025,01:00,FRNYPP_CC1, 25.99,N
04/15/2025,01:00,FRNYPP_CC2, 25.99,N
04/15/2025,01:00,FRONT_EC_CC1, 9.08,N
04/15/2025,01:00,FRONT_EC_RN1, 9.08,N
04/15/2025,01:00,FRONT_EC_RN2, 9.08,N
04/15/2025,01:00,FRONT_EC_RN3, 9.08,N
04/15/2025,01:00,FRYE_SLR_ALL, 22.24,N
04/15/2025,01:00,FTDUNCAN_RN, 37.97,N
04/15/2025,01:00,FTR_CC1, 25.36,N
04/15/2025,01:00,FTR_FTR_G1_4, 25.36,N
04/15/2025,01:00,FTWIND_UNIT1, 24.4,N
04/15/2025,01:00,FWLR_SLR_1, 47.27,N
04/15/2025,01:00,GALO_RN1, 23.85,N
04/15/2025,01:00,GAMBIT_RN, 25.32,N
04/15/2025,01:00,GARC_BESS_RN, 8.75,N
04/15/2025,01:00,GBY_GT, 25.35,N
04/15/2025,01:00,GID_GIDEONG1, 25.16,N
04/15/2025,01:00,GID_GIDEONG2, 25.16,N
04/15/2025,01:00,GID_GIDEONG3, 25.16,N
04/15/2025,01:00,GIGA_ESS_RN, 25.1,N
04/15/2025,01:00,GKS_BESS_RN, 8.64,N
04/15/2025,01:00,GOA_GOATWIND, 22.74,N
04/15/2025,01:00,GOLINDA_UN1, 25.18,N
04/15/2025,01:00,GOMZ_RN, 48.06,N
04/15/2025,01:00,GOODNIT1_ALL, 22.25,N
04/15/2025,01:00,GOODWIN_ESR, 9.04,N
04/15/2025,01:00,GPASTURE_ALL, 22.16,N
04/15/2025,01:00,GRANDVW1_A_B, 22.24,N
04/15/2025,01:00,GRAN_SLR_RN, 25.12,N
04/15/2025,01:00,GRDNE_ESR_RN, 37.83,N
04/15/2025,01:00,GREASWOD_ALL, 47.68,N
04/15/2025,01:00,GREGORY_RN, 19.6,N
04/15/2025,01:00,GRIF_TRL_RN, 22.27,N
04/15/2025,01:00,GRIM_SLR_RN, 25.36,N
04/15/2025,01:00,GRSES_UNIT1, 22.15,N
04/15/2025,01:00,GRSES_UNIT2, 22.8,N
04/15/2025,01:00,GUADG_CC1, 25.13,N
04/15/2025,01:00,GUADG_CC2, 25.13,N
04/15/2025,01:00,GUADG_CCU1, 25.13,N
04/15/2025,01:00,GUADG_CCU2, 25.13,N
04/15/2025,01:00,GUNMTN_NODE, 54.45,N
04/15/2025,01:00,GWEC_G1, 24.9,N
04/15/2025,01:00,GZ_RN, 25.35,N
04/15/2025,01:00,HALO_RN1, 25.23,N
04/15/2025,01:00,HAMI_BESS_RN, 38.21,N
04/15/2025,01:00,HAYSEN1_2, 25.15,N
04/15/2025,01:00,HAYSEN3_4, 25.15,N
04/15/2025,01:00,HB_BUSAVG, 25.31,N
04/15/2025,01:00,HB_HOUSTON, 25.36,N
04/15/2025,01:00,HB_HUBAVG, 25.76,N
04/15/2025,01:00,HB_NORTH, 25.43,N
04/15/2025,01:00,HB_PAN, 22.27,N
04/15/2025,01:00,HB_SOUTH, 22.68,N
04/15/2025,01:00,HB_WEST, 29.59,N
04/15/2025,01:00,HDNLAKES_RN, 25.35,N
04/15/2025,01:00,HEARN_RD_RN, 20.09,N
04/15/2025,01:00,HELIOS_RN, 32.71,N
04/15/2025,01:00,HHGT_KENDAL, 25.06,N
04/15/2025,01:00,HHOLLW2_WND1, 23.83,N
04/15/2025,01:00,HHOLLW3_WND1, 23.83,N
