SCEDTimestamp,RepeatedHourFlag,SettlementPoint,LMP
12/01/2010 01:10:23,N,MAR_MARSFOG3,21.68
12/01/2010 01:10:23,N,MCDLD_FCSBW1,7.26
12/01/2010 01:10:23,N,MCSES_UNIT6,21.64
12/01/2010 01:10:23,N,MCSES_UNIT7,21.64
12/01/2010 01:10:23,N,MCSES_UNIT8,21.64
12/01/2010 01:10:23,N,MDANP_CT1_2,21.64
12/01/2010 01:10:23,N,MDANP_CT3_4,21.64
12/01/2010 01:10:23,N,MDANP_CT5_6,21.64
12/01/2010 01:10:23,N,MGSES_CT123,16.42
12/01/2010 01:10:23,N,MGSES_CT456,16.42
12/01/2010 01:10:23,N,MIL_MILG1_2,21.54
12/01/2010 01:10:23,N,MIL_MILG345,21.54
12/01/2010 01:10:23,N,MLSES_UNIT1,21.64
12/01/2010 01:10:23,N,MLSES_UNIT2,21.64
12/01/2010 01:10:23,N,MLSES_UNIT3,21.64
12/01/2010 01:10:23,N,MNSES_UNIT1,21.64
12/01/2010 01:10:23,N,MNSES_UNIT2,21.64
12/01/2010 01:10:23,N,MNSES_UNIT3,21.64
12/01/2010 01:10:23,N,MWEC_G1,16.95
12/01/2010 01:10:23,N,NCARBIDEG8,21.69
12/01/2010 01:10:23,N,NCARBIDE_1_7,21.69
12/01/2010 01:10:23,N,NCARBID_PUN1,21.69
12/01/2010 01:10:23,N,NCARBID_PUN2,21.69
12/01/2010 01:10:23,N,NCARBID_PUN3,21.69
12/01/2010 01:10:23,N,NCARBID_PUN4,21.69
12/01/2010 01:10:23,N,NEDIN_CC1,21.7
12/01/2010 01:10:23,N,NED_NEDIN_G1,21.7
12/01/2010 01:10:23,N,NED_NEDIN_G2,21.7
12/01/2010 01:10:23,N,NED_NEDIN_G3,21.7
12/01/2010 01:10:23,N,NEWM_NEWMA_5,21.64
12/01/2010 01:10:23,N,NTX_NTX_123,21.56
12/01/2010 01:10:23,N,NUECES_B_CC1,21.7
12/01/2010 01:10:23,N,NUE_NUECESG7,21.7
12/01/2010 01:10:23,N,NUE_NUECESG8,21.7
12/01/2010 01:10:23,N,NUE_NUECESG9,21.7
12/01/2010 01:10:23,N,NWF_NWF1,28.27
12/01/2010 01:10:23,N,OECCS_1,26.96
12/01/2010 01:10:23,N,OECCS_2,26.96
12/01/2010 01:10:23,N,OECCS_CC1,26.96
12/01/2010 01:10:23,N,OECCS_CC2,26.96
12/01/2010 01:10:23,N,OGSES_1,21.65
12/01/2010 01:10:23,N,OGSES_2,21.65
12/01/2010 01:10:23,N,OKLA_OKLA_G1,21.46
12/01/2010 01:10:23,N,OLIN_OLING_1,21.64
12/01/2010 01:10:23,N,OLIN_OLING_2,21.64
12/01/2010 01:10:23,N,OLIN_OLING_3,21.64
12/01/2010 01:10:23,N,OLIN_OLING_4,21.64
12/01/2010 01:10:23,N,OWF_OWF,9.71
12/01/2010 01:10:23,N,OXY_OXY_CCG1,21.7
12/01/2010 01:10:23,N,OXY_PUN1,21.7
12/01/2010 01:10:23,N,OXY_PUN2,21.7
